code,name,city
AMD,Ahmedabad Airport,Naroda
AMH,Arba Mintch Airport,Arba Minch'
AMI,Selaparang,Mataram
AMJ,Almenara,Almenara
AML,Puerto Armuellas,Puerto Armuelles
AMM,Queen Alia International Airport,Al Jizah
AMN,Gratiot Community,Alma
AMO,Mao,Mao
AMP,Ampanihy,Ampanihy
AMQ,Pattimura Airport,Amahusu
AMS,Amsterdam Airport Schiphol,Aalsmeer
AMV,Amderma,Vorgashor
AMW,Ames,Ames
AMZ,Ardmore,Red Hill
ANA,John Wayne International,Anaheim
ANB,Anniston Metropolitan,Oxford
AND,Anderson,Centerville
ANF,Cerro Moreno International Airport,Antofagasta
ANG,Brie-Champniers,Champniers
ANK,Etimesgut,Batikent
ANL,Andulo,Camacupa
ANM,Antsirabato,Antalaha
ANP,Lee,Annapolis
ANQ,Tri-State Steuben County,Angola
ANR,Antwerp International Airport,Mortsel
ANS,Andahuaylas,San Jeronimo
ANT,St Anton,Sankt Anton am Arlberg
ANU,V.C. Bird International Airport,Parham
ANW,Ainsworth,Ainsworth
ANX,Andenes Airport,Andenes
ANY,Anthony,Anthony
AOC,Altenburg Nobitz,Altenburg
AOG,Anshan Teng'ao Airport,Anshan
AOH,Allen County,Lima
AOI,Ancona Falconara Airport,Falconara Marittima
AOK,Karpathos Airport,Karpathos
AOL,Paso De Los Libres,Paso de los Libres
AOO,Altoona Airport,Martinsburg
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Alianza Cristiana
AOR,Sultan Abdul Halim Airport,Jitra
AOT,Corrado Gex,Chef-Lieu
AOU,Attopeu,Attapu
APB,Apolo,Mapiri
APC,Napa County,American Canyon
APF,Naples Municipal Airport,Naples
APG,Phillips AAF,Aberdeen
APH,Camp A P Hill,Bowling Green
API,Apiay,Puerto Lopez
APL,Nampula Airport,Nampula
APN,Alpena County Regional Airport,Alpena
APO,Apartado Airport,Carepa
APQ,Arapiraca,Arapiraca
APS,Anapolis,Anapolis
APT,Marion County,Powells Crossroads
APV,Apple Valley,Apple Valley
APW,Faleolo Airport,Satapuala
APX,Arapongas,Apucarana
APY,Alto Parnaiba,Morros
APZ,Zapala,Zapala
AQA,Araraquara,Araraquara
AQB,Quiche Airport,Santa Cruz del Quiche
AQG,Anqing Tianzhushan Airport,Anqing
AQI,Qaisumah Airport,Al Qaysumah
AQJ,King Hussein International Airport,Aqaba
AQM,Ariquemes,Ariquemes
AQP,Rodriguez Ballon International Airport,Arequipa
ARA,Acadiana Regional,Cade
ARB,Municipal,Ann Arbor
ARD,Alor Island Airport,Sifala
ARE,Arecibo,Bajadero
ARG,Walnut Ridge,Walnut Ridge
ARH,Talagi Airport,Arkhangel'sk
ARI,Chacalluta Airport,Arica
ARJ,Arso,Arso
ARK,Arusha Airport,Arusha
ARM,Armidale Airport,Armidale
ARN,Stockholm Arlanda Airport,Marsta
ARO,Arboletas,Arboletes
ARQ,Arauquita,Arauquita
ARR,Alto Rio Senguerr,Alto Rio Senguer
ARS,Aragarcas,Aragarcas
ART,Watertown Airport,Dexter
ARU,Aracatuba Airport,Aracatuba
ARV,Noble F. Lee,Lac du Flambeau
ARW,Arad,Arad
ARX,Asbury Park,Shark River Hills
ARY,Ararat,Ararat
ASB,Ashgabat Airport,Ashgabat
ASE,Aspen Airport,Aspen
ASF,Astrakhan Airport,Yaksatovo
ASG,Ashburton,Ashburton
ASH,Boire Field,Nashua
ASK,Yamoussoukro,Yamoussoukro
ASL,Harrison County,Marshall
ASM,Asmara International Airport,Asmara
ASN,Talladega,Talladega
ASR,Kayseri Airport,Kayseri
AST,Astoria,Warrenton
ASU,Silvio Pettirossi International Airport,Limpio
ASV,Amboseli,Namanga
ASW,Aswan Airport,Aswan
ASX,Ashland,Ashland
ASY,Ashley,Ashley
ATA,Anta,Anta
ATB,Atbara,Atbara
ATE,Antlers,Antlers
ATF,Chachoan,San Miguel de Salcedo
ATG,Attock,Akora
ATH,Eleftherios Venizelos International Airport,Spata
ATI,Artigas,Artigas
ATJ,Antsirabe,Antsirabe
ATM,Altamira Airport,Altamira
ATO,Ohio University,Athens
ATQ,Sri Guru Ram Dass Jee International Airport,Raja Sansi
ATR,Mouakchott,Atar
ATS,Artesia,Artesia
ATV,Ati,Ati
ATW,Outagamie County Regional Airport,Menasha
ATX,Atbasar,Atbasar
ATY,Watertown Airport,Watertown
ATZ,Assiut Airport,Asyut
AUA,Reina Beatrix International Airport,Oranjestad
AUB,Itauba Airport,Itauba
AUC,Arauca Airport,Arauca
AUF,Auxerre Branches,Appoigny
AUG,Augusta Airport,Augusta
AUL,Aur Island,Aur
AUM,Austin,Austin
AUN,Auburn,Auburn
AUO,Auburn-Opelika,Auburn
AUR,Aurillac Airport,Aurillac
AUS,Austin-Bergstrom International Airport,Hornsby Bend
AUW,Municipal,Schofield
AUX,Araguaina Airport,Araguaina
AUZ,Municipal Airport,Aurora
AVA,An Shun/Huang Guo Shu Airport,Anshun
AVB,Aviano,Roveredo in Piano
AVI,Maximo Gomez,Ciro Redondo
AVK,Arvaikheer,Arvayheer
AVL,Asheville Regional Airport,Fletcher
AVN,Avignon-Caumont Airport,Noves
AVO,Municipal,Avon Park
AVP,Wilkes-Barre/Scranton International Airport,Avoca
AVR,Alverca,Sobralinho
AVV,Avalon Airport,Little River
AVW,Avra Valley,Marana
AWA,Awassa,Hawassa
AWB,Awaba Airport,Awaba
AWM,Municipal,West Memphis
AWZ,Ahwaz Airport,Ahvaz
AXA,Clayton J. Lloyd International Airport,The Valley
AXB,Alexandria Bay,Alexandria Bay
AXD,Demokritos Airport,Alexandroupoli
AXE,Xanxere,Xanxere
AXF,Alxa Left Banner,Bayan Hot
AXG,Algona,Algona
AXJ,Amakusa,Hondo
AXM,El Eden Airport,La Tebaida
AXN,Alexandria,Alexandria
AXO,Bandar Udara Pantar,Pantar
AXP,Springpoint Airport,Masons Bay
AXR,Arutua Airport,Arutua
AXT,Akita Airport,Akita
AXU,Axum Airport,Aksum
AXV,Neil Armstrong,Wapakoneta
AXX,Angel Fire,Angel Fire
AYA,Ayapel,Ayapel
AYC,Ayacucho,Pelaya
AYE,AAF Heliport,Ayer
AYK,Arkalyk,Arkalyk
AYN,Anyang Airport,Anyang
AYO,Ayolas,Ayolas
AYP,Yanamilla Airport,Carmen Alto
AYR,Ayr,Ayr
AYS,Ware County,Deenwood
AYT,Antalya Airport,Aksu
AYW,Ayawasi,Aifat
AYX,Gerardo Pérez Pinedo,Puerto Ocopa
AYZ,Zahns,Amityville
AZA,Phoenix-Mesa Gateway Airport,Queen Creek
AZD,Yazd Airport,Yazd
AZG,Apatzingan,Apatzingan
AZJ,Zhenjiang Dalu,Changzhou
AZN,Andizhan Airport,Andijon
AZO,Kalamazoo Battle Creek International Airport,Portage
AZP,Atizapan,Iztacalco
AZR,Adrar Airport,Adrar
AZS,Samaná El Catey International,Sanchez
AZT,Zapatoca,Betulia
AZZ,Ambriz,Nzeto
BAB,Beale AFB,Marysville
BAC,Barranca De Upia,Barranca de Upia
BAD,Barksdale AFB,Bossier City
BAE,Barcelonnette,Barcelonnette
BAF,Barnes,Westfield
BAG,Loakan,Tuding
BAH,Bahrain International Airport,Al Muharraq
BAI,Buenos Aires,Buenos Aires
BAL,Batman Airport,Yenikoy
BAM,Lander County,Battle Mountain
BAQ,E Cortissoz Airport,Malambo
BAT,Airport Chafei Amsei,Barretos
BAU,Bauru Airport,Bauru
BAV,Baotou Airport,Shulinzhao
BAX,Barnaul Gherman Titov International Airport,Gon'ba
BAY,Baia Mare,Tautii Magherus
BAZ,Barbelos,Barcelos
BBB,Benson Municipal Airport,Benson
BBC,Bay City,Bay City
BBD,Curtis Field,Brady
BBF,Burlington,Burlington
BBI,Biju Patnaik International Airport,Bhubaneshwar
BBJ,Bitburg Air Base,Bitburg
BBK,Kasane Airport,Kasane
BBM,Battambang,Battambang
BBO,Berbera,Berbera
BBQ,Barbuda,Codrington
BBR,Baillif,Baillif
BBS,Blackbushe,Yateley
BBT,Berberati,Berberati
BBW,Broken Bow,Broken Bow
BBX,Wings Field,Blue Bell
BBY,Bambari,Bambari
BCA,Baracoa,Baracoa
BCB,Virginia Tech,Blacksburg
BCC,Bear Creek,Red Lodge
BCD,Bacolod-Silay International Airport,Bacolod City
BCF,Bouca,Bouca
BCH,Cakung International,Baucau
BCJ,Baca Grande,Buena Vista
BCK,Bolwarra,Atherton
BCL,Barra Colorado,Matina
BCM,Bacau Airport,Margineni-Munteni
BCN,Barcelona-El Prat Airport,El Prat de Llobregat
BCQ,Brack,Brak
BCR,Boca Do Acre,Boca do Acre
BCT,Public,Boca Raton
BCU,Bauchi,Bauchi
BCX,Beloreck,Lomovka
BCY,Bulchi,Felege Neway
BDB,Bundaberg Airport,Thabeban
BDC,Barra Do Corda,Barra do Corda
BDF,Rinkenberger,Wyoming
BDG,Blanding,Blanding
BDH,Bandar Lengeh,Bandar-e Lengeh
BDI,Bird Island,Bel Ombre
BDJ,Syamsudin Noor International Airport,Banjarbaru
BDK,Bondoukou,Bondoukou
BDL,Bradley International Airport,Windsor Locks
BDM,Bandirma,Bandirma
BDN,Talhar,Badin
BDO,Husein Sastranegara Airport,Bandung
BDP,Bhadrapur Airport,Bhadrapur
BDQ,Vadodara Airport,Vadodara
BDS,Brindisi - Salento Airport,Materdomini
BDT,Gbadolite,Ouango
BDU,Bardufoss Airport,Moen
BDV,Moba,Karema
BDX,Broadus,Broadus
BDY,State,Bandon
BEB,Benbecula Airport,Benbecula
BED,Hanscom Field,Bedford
BEF,Bluefields,Bluefields
BEG,Belgrad Nikola Tesla Airport,Surcin
BEH,Ross Field,Benton Heights
BEI,Beica,Asosa
BEK,Bareli,Rae Bareli
BEL,Val De Cans International Airport,Belem
BEM,Beni Mellal Airport,Beni Mellal
BEN,Benina International,Benghazi
BEO,Belmont,Belmont
BEP,Bellary,Bellary
BEQ,Honington,Thetford
BES,Brest Bretagne Airport,Guipavas
BEV,Beer Sheba,Beersheba
BEX,Benson RAF Station,Benson
BEY,Beirut-Rafic Hariri International Airport,Baabda
BFD,Bradford Airport,Bradford
BFE,Bielefeld,Bielefeld
BFF,Western Nebraska Regional Airport,Terrytown
BFH,Bacacheri,Curitiba
BFI,Boeing Field International Airport,Boulevard Park
BFJ,Bijie Airport,Bijie
BFK,Buffalo Municipal Airport,Aurora
BFL,Meadows Field Airport,Oildale
BFN,Bram Fischer International Airport,Bloemfontein
BFP,Beaver Falls,West Mayfield
BFR,Virgil I Grissom Municipalcipal,Bedford
BFS,Belfast International Airport,Antrim
BFT,County,Beaufort
BFU,Bengbu,Bengbu
BFV,Buri Ram Airport,Satuek
BFW,Sidi Belabbes,Sidi Bel Abbes
BFX,Bafoussam,Bafoussam
BGA,Palonegro International Airport,Lebrija
BGC,Braganca Airport,Braganca
BGD,Borger,Borger
BGE,Decatur County,Bainbridge
BGF,Bangui Airport,Bangui
BGH,Abbaye,Golere
BGL,Baglung,Baglung
BGM,Greater Binghamton Airport,Johnson City
BGN,Belaya Gora Airport,Belaya Gora
BGO,Bergen Airport,Ytrebygda
BGR,Bangor International Airport,Bangor
BGT,Bagdad,Bagdad
BGV,Bento Goncalves,Bento Goncalves
BGW,Baghdad International Airport,Abu Ghurayb
BGX,Airport Cmdt. Gustavo Kraemer,Bage
BGY,Orio al Serio International Airport,Orio al Serio
BGZ,Braga,Braga
BHA,Bahia De Caraquez,Bahia de Caraquez
BHB,Bar Harbor Airport,Trenton
BHC,Bhurban Heliport,Murree
BHD,George Best Belfast City Airport,Castlereagh
BHE,Woodbourne Airport,Blenheim
BHG,Brus Laguna,Brus Laguna
BHH,Bisha Airport,Qal`at Bishah
BHI,Comandante Airport,Bahia Blanca
BHJ,Rudra Mata Airport,Bhuj
BHK,Bukhara Airport,Bukhara
BHM,Birmingham-Shuttlesworth International Airport,Tarrant
BHN,Beihan,Bayhan
BHO,Raja Bhoj Airport,Bhopal
BHS,Raglan Airport,Kelso
BHU,Bhavnagar Airport,Bhavnagar
BHV,Bahawalpur Airport,Bahawalpur
BHX,Birmingham International Airport,Bickenhill
BHY,Beihai Fucheng Airport,Beihai
BIA,Bastia Poretta Airport,Borgo
BIB,Baidoa,Baidoa
BIC,Aérodrome de Belle Île,Bangor
BID,Block Island,Charlestown
BIE,Beatrice,Beatrice
BIF,Biggs AAF,El Paso
BIH,Bishop,Bishop
BIK,Mokmer Airport,Biak
BIL,Billings Logan International Airport,Billings
BIN,Bamiyan,Bamyan
BIO,Bilbao Airport,Sondika
BIQ,Biarritz - Anglet - Bayonne Airport,Anglet
BIR,Biratnagar Airport,Jogbani
BIS,Bismarck Airport,Bismarck
BIT,Baitadi,Mahendranagar
BIV,Bria,Bria
BIX,Keesler AFB,Biloxi
BIY,Bisho,Port Alfred
BJA,Bejaia Airport,Bejaia
BJB,Bojnord,Bojnurd
BJC,Jeffco,Broomfield
BJE,Baleela,Al Fulah
BJF,Batsfjord Airport,Batsfjord
BJI,Bemidji Airport,Bemidji
BJJ,Wayne County,Wooster
BJL,Yundum International Airport,Abuko
BJM,Bujumbura International Airport,Bujumbura
BJO,Bermejo,San Ramon de la Nueva Oran
BJP,Braganca Paulista,Braganca Paulista
BJR,Bahar Dar Airport,Bahir Dar
BJT,Bentota River,Beruwala
BJV,Milas-Bodrum Airport,Kiulukioi
BJW,Bajawa Soa Airport,Naru
BJX,Guanajuato International Airport,Colonia Nuevo Mexico
BJY,Batajnica,Novi Banovci
BJZ,Badajoz Airport,Talavera La Real
BKB,Bikaner,Bikaner
BKD,Stephens County,Breckenridge
BKE,Baker,Baker City
BKG,Branson,Hollister
BKI,Kota Kinabalu International Airport,Putatan
BKJ,Boke,Boke
BKK,Suvarnabhumi Airport,Lat Krabang
BKL,Burke Lakefront Airport,Cleveland
BKN,Balkanabat Airport,Balkanabat
BKO,Bamako-Senou International Airport,Bamako
BKR,Bokoro,Bokoro
BKS,Fatmawati Soekarno Airport,Bengkulu
BKT,Blackstone AAF,Blackstone
BKU,Betioky,Betioky
BKV,Bailing Airport,Bailingmiao
BKW,Beckley Airport,Daniels
BKX,Brookings,Brookings
BKY,Kavumu,Bukavu
BKZ,Bukoba Airport,Bukoba
BLA,General Jose Antonio Anzoategui International Airport,Barcelona
BLB,Panama Pacifico Airport,Ancon
BLD,Boulder City,Boulder City
BLE,Dala Airport,Ornas
BLF,Princeton,Bluefield
BLG,Belaga,Data Kakus
BLH,Blythe,Mesa Verde
BLI,Bellingham International Airport,Marietta-Alderwood
BLJ,Batna Airport,Batna
BLK,Blackpool Airport,Great Marton
BLL,Billund Airport,Billund
BLM,Monmouth Executive Airport,Belmar
BLN,Benalla,Benalla
BLP,Bellavista,Kelluyo
BLQ,Guglielmo Marconi Airport,Trebbo
BLR,Kempegowda International Airport,Devanhalli
BLT,Blackwater,Blackwater
BLU,Blue Canyon,Foresthill
BLV,Belleville,Lebanon
BLW,Bellows Field,Waimanalo Beach
BLX,Belluno,Belluno
BLY,Belmullet,Belmullet
BMA,Bromma Airport,Bromma
BMB,Bumba,Bumba
BMC,Brigham City,Brigham City
BMF,Bakouma,Bangassou
BMG,Bloomington,Bloomington
BMI,Central Illinois Regional Airport,Bloomington
BMK,Borkum,Borkum
BMN,Bamerny,Al `Amadiyah
BMO,Bhamo,Bhamo
BMR,Baltrum,Baltrum
BMS,Brumado,Brumado
BMT,Beaumont Municipalcipal,Beaumont
BMU,Sultan Muhammad Salahuddin Airport,Melati
BMV,Phung-Duc Airport,Buon Ma Thuot
BMW,Bordj Badji Mokhtar,Tessalit
BMY,Belep Island,Wala
BNA,Nashville International Airport,Lakewood
BNB,Boende,Boende
BND,Bandar Abbas International Airport,Bandar 'Abbas
BNE,Brisbane Airport,Ascot
BNG,Banning,Banning
BNI,Benin City Airport,Benin City
BNK,Ballina Byron Airport,Ballina
BNL,Barnwell Regional,Barnwell
BNN,Bronnoysund Airport Bronnoy,Bronnoysund
BNO,Burns,Burns
BNP,Bannu,Bannu
BNQ,Baganga,Aurora
BNR,Banfora,Banfora
BNS,Barinas,Barinas
BNU,Blumenau,Gaspar
BNW,Boone,Boone
BNX,Banja Luka Airport,Laktasi
BOC,Bocas Del Toro,Bocas del Toro
BOD,Bordeaux Airport,Le Haillan
BOG,El Dorado International Airport,Funza
BOH,Bournemouth Airport,St Leonards
BOI,Boise Air Terminal (Gowen Field),Boise
BOJ,Bourgas Airport,Sredets
BOK,Brookings State,Brookings
BOL,Ballykelly,Ballykelly
BOM,Chhatrapati Shivaji International Airport,Mumbai
BON,Flamingo International Airport,Dorp Tera Kora
BOO,Bodo Airport,Bodo
BOP,Bouar,Bouar
BOS,Logan International Airport,Chelsea
BOU,Bourges,Fussy
BOW,Bartow,Bartow
BOY,Borgo,Bobo-Dioulasso
BOZ,Bozoum,Bozoum
BPA,Grumman,Bethpage
BPC,Bamenda,Bamenda
BPG,Barra Do Garcas,Barra do Garcas
BPH,Bislig,Bislig
BPI,Big Piney-marbleton,Marbleton
BPL,Bole Airport,Dostyq
BPM,Begumpet,Quthbullapur
BPN,Sultan Aji Muhamad Sulaiman Airport,City of Balikpapan
BPS,Porto Seguro Airport,Porto Seguro
BPT,Jefferson County Airport,Nederland
BPU,Beppu,Beppu
BPX,Bangda Airport,Yanduo
BQA,Baler,Dona Remedios Trinidad
BQB,Bussellton Regional Airport,Vasse
BQE,Bubaque,Bubaque
BQG,Bogorodskoye,Bogorodskoye
BQH,Biggin Hill,Biggin Hill
BQI,Bagani,Bagani
BQJ,Batagay,Batagay
BQN,Rafael Hernandez Airport,San Antonio
BQO,Bouna,Bouna
BQQ,Barra,Barra
BQS,Blagoveschensk Airport,Shangmachang
BQT,Brest Airport,Zhabinka
BRA,Barreiras Airport,Barreiras
BRB,Barreirinhas,Barreirinha
BRC,San Carlos de Bariloche International Airport,San Carlos de Bariloche
BRD,Crow Wing County Airport,Brainerd
BRE,Bremen Airport,Bremen
BRF,Bradford,Bradford
BRG,Municipal,Whitesburg
BRI,Palese Airport,San Paolo
BRL,Burlington Airport,Burlington
BRM,Barquisimeto Airport,Barquisimeto
BRN,Bern Airport,Belp
BRO,South Padre Island International Airport,South Point
BRQ,Turany Airport,Slapanice
BRS,Bristol Airport,Butcombe
BRU,Brussels Airport,Zaventem
BRV,Bremerhaven,Ihlienworth
BRX,Barahona,Santa Cruz de Barahona
BRY,Samuels Field,Bardstown
BSA,Bossaso,Bosaso
BSB,Brasilia International Airport,Brasilia
BSC,Bahia Solano,Mutis
BSD,Baoshan Airport,Dianyang
BSF,Bradshaw AAF,Kailua
BSG,Bata Airport,Bata
BSH,Brighton,Brighton
BSI,Blairsville,Blairsville
BSJ,Bairnsdale,Bairnsdale
BSK,Biskra Airport,Biskra
BSM,Bishe-kola,Mahmudabad
BSN,Bossangoa,Bossangoa
BSO,Basco Airport,Basco
BSQ,Bisbee Municipal Airport,Naco
BSR,Basra International Airport,Al Basrah
BSS,Balsas,Balsas
BST,Bost,Lashkar Gah
BSU,Basankusu,Bongandanga
BSV,Besakoa,Marovoay
BSX,Bassein,Pathein
BSY,Bardera,Baardheere
BTA,Yaoundé,Bertoua
BTB,Betou,Mongoumba
BTE,Bonthe,Pujehun
BTF,Salt Lake Skypark,Bountiful
BTG,Batangafo,Batangafo
BTJ,Sultan Iskandar Muda International Airport,Montasik
BTK,Bratsk Airport,Bratsk
BTL,WK Kellogg Regional,Level Park-Oak Park
BTM,Butte Airport,Butte
BTN,Bennettsville,Bennettsville
BTP,Butler County - Kenny Scholter Field,Homeacre-Lyndora
BTQ,Butare,Butare
BTR,Baton Rouge Metropolitan Airport,Brownsfield
BTU,Bintulu Airport,Bintulu
BTV,Burlington International Airport,South Burlington
BTW,Batu Licin,Sungaikupang
BTZ,Yala Betong International Airport,Betong
BUB,Municipal,Burwell
BUD,Budapest Ferenc Liszt International Airport,Vecses
BUF,Buffalo Niagara International Airport,Williamsville
BUG,Gen V Deslandes,Benguela
BUJ,Ain Eddis,'Ain el Melh
BUK,Albuq,An Nasirah
BUM,Butler,Butler
BUN,Buenaventura,Buenaventura
BUO,Burao,Burao
BUP,Bhatinda Airport,Bhatinda
BUQ,Bulawayo Airport,Bulawayo
BUR,Bob Hope Airport,North Hollywood
BUS,Batumi Airport,Batumi
BUT,Bathpalathang Airport,Jakar
BUU,Muara Bungo Airport,Muarabungo
BUV,Bella Union,Tomas Gomensoro
BUX,Bunia,Bunia
BUY,Bunbury,Bunbury
BUZ,Bushehr Airport,Bushehr
BVA,Beauvais-Tille Airport,Tille
BVB,Boa Vista Airport,Boa Vista
BVC,Rabil Airport,Vila de Sal Rei
BVE,Laroche Airport,Brive-la-Gaillarde
BVG,Berlevag Airport,Berlevag
BVJ,Bovanenkovo Airport,Aksarka
BVM,Belmonte,Belmonte
BVO,Bartlesville,Bartlesville
BVR,Esperadinha,Vila Nova Sintra
BVS,Breves,Breves
BVX,Municipal,Batesville
BVY,Beverly Municipal Airport,Beverly
BWA,Bhairawa Airport,Bhairahawa
BWC,Brawley,Brawley
BWD,Brownwood,Early
BWF,Walney Island,Barrow in Furness
BWG,Warren County,Bowling Green
BWH,Butterworth,Permatang Kuching
BWI,Baltimore/Wash International Thurgood Marshall Airport,Ferndale
BWK,Brac,Bol
BWL,Blackwell,Blackwell
BWM,Bowman,Bowman
BWN,Brunei International Airport,Bandar Seri Begawan
BWO,Balakovo,Balakovo
BWQ,Brewarrina,Brewarrina
BWS,Blaine,White Rock
